Date,Price,Open,High,Low,Vol.,Change %
11/28/2022,"15,720.00","15,692.50","15,737.50","15,685.00",0.17K,0.32%
11/25/2022,"15,670.00","15,645.00","15,681.00","15,632.50",0.15K,0.04%
11/24/2022,"15,663.00","15,640.00","15,667.50","15,635.00",0.18K,-0.14%
11/23/2022,"15,685.00","15,692.50","15,709.50","15,684.00",0.14K,-0.06%
11/22/2022,"15,695.00","15,710.00","15,727.50","15,694.50",0.16K,-0.10%
11/21/2022,"15,710.00","15,690.00","15,717.50","15,682.50",0.11K,0.16%
11/18/2022,"15,685.00","15,670.00","15,697.50","15,670.00",0.14K,0.16%
11/17/2022,"15,660.00","15,660.00","15,705.00","15,642.50",0.19K,0.38%
11/16/2022,"15,600.00","15,570.00","15,628.50","15,565.00",0.19K,0.42%
11/15/2022,"15,535.00","15,530.00","15,622.50","15,525.00",0.19K,0.13%
11/14/2022,"15,515.00","15,465.00","15,527.50","15,462.50",0.13K,0.16%
11/11/2022,"15,490.00","15,560.00","15,565.00","15,392.50",0.15K,-1.27%
11/10/2022,"15,690.00","15,677.50","15,712.50","15,677.50",0.13K,0.20%
11/9/2022,"15,658.00","15,662.50","15,672.50","15,632.50",0.16K,-0.24%
11/8/2022,"15,695.00","15,670.00","15,702.50","15,667.50",0.13K,-0.06%
11/7/2022,"15,705.00","15,662.50","15,710.00","15,660.00",0.12K,-0.19%
11/4/2022,"15,735.00","15,750.00","15,760.00","15,715.00",0.18K,0.25%
11/3/2022,"15,695.00","15,655.00","15,698.50","15,645.00",0.15K,0.32%
11/2/2022,"15,645.00","15,660.50","15,671.50","15,630.00",0.17K,0.13%
11/1/2022,"15,625.00","15,630.00","15,661.50","15,553.50",0.15K,0.19%
10/31/2022,"15,595.00","15,577.50","15,612.50","15,562.50",0.15K,0.30%
10/28/2022,"15,548.00","15,567.50","15,567.50","15,520.00",0.12K,-0.11%
10/27/2022,"15,565.00","15,550.00","15,627.50","15,535.00",0.16K,-0.03%
10/26/2022,"15,569.00","15,600.00","15,619.00","15,560.00",0.17K,-0.33%
10/25/2022,"15,620.00","15,590.00","15,623.00","15,590.00",0.14K,0.22%
10/24/2022,"15,585.00","15,575.00","15,607.50","15,562.50",0.18K,-0.29%
10/21/2022,"15,630.00","15,580.00","15,635.50","15,577.50",0.21K,0.39%
10/20/2022,"15,570.00","15,545.00","15,587.50","15,476.50",0.23K,0.48%
10/19/2022,"15,495.00","15,475.00","15,503.00","15,465.00",0.16K,0.19%
10/18/2022,"15,465.00","15,470.00","15,485.00","15,447.50",0.19K,-0.13%
10/17/2022,"15,485.00","15,467.50","15,496.50","15,459.50",0.17K,0.39%
10/14/2022,"15,425.00","15,365.00","15,426.50","15,362.50",0.17K,0.42%
10/13/2022,"15,360.00","15,352.50","15,367.50","15,342.00",0.15K,0.03%
10/12/2022,"15,355.00","15,364.00","15,390.00","15,355.50",0.19K,0.00%
10/11/2022,"15,355.00","15,330.00","15,372.50","15,330.00",0.18K,0.29%
10/10/2022,"15,310.00","15,275.00","15,315.00","15,270.00",0.21K,0.39%
10/7/2022,"15,250.00","15,222.50","15,262.50","15,220.50",0.21K,0.43%
10/6/2022,"15,185.00","15,205.00","15,211.00","15,183.50",0.19K,-0.03%
10/5/2022,"15,190.00","15,182.50","15,220.00","15,156.50",0.25K,-0.36%
10/4/2022,"15,245.00","15,282.50","15,312.50","15,237.50",0.15K,-0.36%
10/3/2022,"15,300.00","15,245.00","15,307.50","15,245.00",0.14K,0.49%
9/30/2022,"15,225.00","15,190.00","15,247.50","15,180.00",0.18K,-0.23%
9/29/2022,"15,260.00","15,220.00","15,280.00","15,212.50",0.21K,0.00%
9/28/2022,"15,260.00","15,160.00","15,276.50","15,160.00",0.15K,0.93%
9/27/2022,"15,120.00","15,135.00","15,172.00","15,122.50",0.18K,-0.03%
9/26/2022,"15,125.00","15,060.00","15,132.50","15,060.00",0.12K,0.60%
9/23/2022,"15,035.00","15,010.00","15,043.50","15,010.00",0.11K,0.13%
9/22/2022,"15,015.00","15,007.50","15,042.50","15,007.50",0.14K,0.13%
9/21/2022,"14,995.00","15,017.50","15,024.00","14,997.50",0.18K,0.10%
9/20/2022,"14,980.00","14,980.00","14,990.00","14,964.00",0.19K,0.03%
9/19/2022,"14,975.00","14,970.00","14,989.00","14,960.00",0.18K,0.17%
9/16/2022,"14,950.00","14,930.00","14,962.50","14,921.50",0.21K,0.37%
9/15/2022,"14,895.00","14,910.00","14,912.50","14,877.50",0.18K,-0.07%
9/14/2022,"14,905.00","14,935.00","14,944.00","14,874.00",0.27K,0.37%
9/13/2022,"14,850.00","14,852.50","14,876.00","14,846.00",0.21K,0.07%
9/12/2022,"14,840.00","14,822.50","14,846.50","14,815.00",0.17K,0.08%
9/9/2022,"14,828.00","14,875.00","14,885.00","14,817.50",0.19K,-0.45%
9/8/2022,"14,895.00","14,897.50","14,915.00","14,893.50",0.16K,-0.13%
9/7/2022,"14,915.00","14,912.50","14,936.50","14,825.00",0.20K,0.20%
9/6/2022,"14,885.00","14,887.50","14,897.50","14,869.50",0.17K,-0.10%
9/5/2022,"14,900.00","14,885.00","14,932.50","14,885.00",0.18K,0.03%
9/2/2022,"14,895.00","14,897.50","14,907.50","14,872.50",0.14K,0.10%
9/1/2022,"14,880.00","14,865.00","14,892.50","14,865.00",0.14K,0.27%
8/31/2022,"14,840.00","14,847.50","14,862.50","14,837.50",0.16K,0.00%
8/30/2022,"14,840.00","14,887.50","14,896.00","14,840.00",0.17K,-0.37%
8/29/2022,"14,895.00","14,865.00","14,902.50","14,840.00",0.13K,0.54%
8/26/2022,"14,815.00","14,797.50","14,829.00","14,797.00",0.17K,-0.03%
8/25/2022,"14,820.00","14,827.50","14,837.50","14,815.00",0.15K,-0.17%
8/24/2022,"14,845.00","14,847.50","14,872.50","14,822.00",0.15K,0.07%
8/23/2022,"14,835.00","14,897.50","14,921.50","14,825.00",0.13K,-0.34%
8/22/2022,"14,885.00","14,875.00","14,895.00","14,860.00",0.13K,0.34%
8/19/2022,"14,835.00","14,860.00","14,875.00","14,837.50",0.17K,0.03%
8/18/2022,"14,830.00","14,777.50","14,844.00","14,777.50",0.16K,0.44%
8/16/2022,"14,765.00","14,775.00","14,782.50","14,751.50",0.15K,0.17%
8/15/2022,"14,740.00","14,685.00","14,744.00","14,685.00",0.16K,0.51%
8/12/2022,"14,665.00","14,745.00","14,755.00","14,659.00",0.14K,-0.68%
8/11/2022,"14,765.00","14,815.00","14,869.50","14,760.00",0.18K,-0.71%
8/10/2022,"14,870.00","14,867.50","14,880.50","14,865.00",0.12K,0.13%
8/9/2022,"14,850.00","14,865.00","14,876.00","14,847.50",0.22K,-0.17%
8/8/2022,"14,875.00","14,922.50","14,940.00","14,877.50",0.17K,-0.10%
8/5/2022,"14,890.00","14,885.00","14,920.00","14,877.50",0.14K,-0.27%
8/4/2022,"14,930.00","14,910.00","14,939.00","14,897.50",0.16K,0.13%
8/3/2022,"14,910.00","14,910.00","14,925.00","14,890.00",0.17K,0.13%
8/2/2022,"14,890.00","14,865.00","14,992.50","14,862.50",0.19K,0.13%
8/1/2022,"14,870.00","14,850.00","14,887.50","14,847.00",0.13K,0.27%
7/29/2022,"14,830.00","14,855.00","14,887.50","14,830.00",0.16K,-0.67%
7/28/2022,"14,930.00","14,937.50","14,977.50","14,917.50",0.18K,-0.53%
7/27/2022,"15,010.00","14,997.00","15,025.00","14,919.00",0.15K,0.10%
7/26/2022,"14,995.00","14,957.50","15,002.50","14,940.00",0.10K,0.00%
7/25/2022,"14,995.00","15,000.00","15,010.00","14,967.50",0.12K,-0.13%
7/22/2022,"15,015.00","15,030.00","15,037.50","15,007.50",0.14K,-0.10%
7/21/2022,"15,030.00","14,990.00","15,036.50","14,990.00",0.19K,0.30%
7/20/2022,"14,985.00","14,977.50","14,992.00","14,970.00",0.10K,0.07%
7/19/2022,"14,975.00","14,982.50","14,996.50","14,977.00",0.14K,-0.05%
7/18/2022,"14,982.00","14,974.50","14,995.00","14,950.00",0.15K,-0.05%
7/15/2022,"14,990.00","14,994.50","14,998.00","14,977.50",0.08K,0.00%
7/14/2022,"14,990.00","14,994.50","14,998.00","14,986.50",0.14K,0.03%
7/13/2022,"14,985.00","14,975.00","14,996.50","14,966.50",0.13K,0.00%
7/12/2022,"14,985.00","14,982.50","14,996.00","14,976.00",0.14K,0.10%
